Mode,Initial,Final,Target Share,Model Share,Log Error
Drive Alone,0,0,44.1,43.35970446,-0.015795794
Share,0.617465429,0.022857448,45.5,45.65676034,0.002917007
Bus,0.048177466,-1.991015057,0.5,0.546144768,0.019484934
Non-motorized,0.187268404,0.393196067,9.9,10.43739043,0.053812083
