FACTYPE,TOTAL_VMT,TOTAL_VHT
1,3101789,51603
2,296514,5520
3,1352665,38005
4,380302,13534
5,2038046,64293
6,746797,24503
7,281016,9009
8,174789,7004
9,46057,1097
10,121232,4403
11,0,0
12,0,0
