FACTYPE,TOTAL_VMT,TOTAL_VHT
1,2915786,47445
2,263539,4696
3,1274908,35243
4,453553,17963
5,1983679,64794
6,724225,25348
7,245279,7831
8,176797,8871
9,40551,934
10,112136,3944
11,0,0
12,0,0
